Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 14:42:54,mxui6xwp,15177315,Version2-70dB,1,audio started,1516.8999999642256,Audio Clip,2,53,_MONO__HSS143_zapato_nonalt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:42:55,mxui6xwp,15177315,Version2-70dB,1,o.png,2887.1999999761465,O,2,53,_MONO__HSS143_zapato_nonalt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:42:57,mxui6xwp,15177315,Version2-70dB,2,audio started,1500.9000000000233,Audio Clip,2,76,_MONO__ASI_crola_analyzable_70dB.mp3
17/02/2026 14:42:59,mxui6xwp,15177315,Version2-70dB,2,a.png,3769.9999999642605,A,1,76,_MONO__ASI_crola_analyzable_70dB.mp3
17/02/2026 14:43:01,mxui6xwp,15177315,Version2-70dB,3,audio started,1502.0999999881024,Audio Clip,2,37,_MONO__HSS143_zapato_nonalt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:02,mxui6xwp,15177315,Version2-70dB,3,o.png,2958.9000000000233,O,2,37,_MONO__HSS143_zapato_nonalt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:04,mxui6xwp,15177315,Version2-70dB,4,audio started,1517.5,Audio Clip,2,23,_MONO__ASI146_puerto_alt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:05,mxui6xwp,15177315,Version2-70dB,4,o.png,2795.899999976158,O,2,23,_MONO__ASI146_puerto_alt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:06,mxui6xwp,15177315,Version2-70dB,5,audio started,1519.3999999880907,Audio Clip,2,83,_MONO__HSS_bleno_unanalyzable3_70dB.mp3
17/02/2026 14:43:09,mxui6xwp,15177315,Version2-70dB,5,o.png,3643.7000000000116,O,2,83,_MONO__HSS_bleno_unanalyzable3_70dB.mp3
17/02/2026 14:43:10,mxui6xwp,15177315,Version2-70dB,6,audio started,1502.499999952328,Audio Clip,2,5,_MONO__HSS126_brujo_alt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:11,mxui6xwp,15177315,Version2-70dB,6,o.png,2876.2000000000116,O,2,5,_MONO__HSS126_brujo_alt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:13,mxui6xwp,15177315,Version2-70dB,7,audio started,1517.4999999761349,Audio Clip,2,88,_MONO__ASI_sato_unanalyzable2_70dB.mp3
17/02/2026 14:43:15,mxui6xwp,15177315,Version2-70dB,7,o.png,3199.7999999999884,O,2,88,_MONO__ASI_sato_unanalyzable2_70dB.mp3
17/02/2026 14:43:16,mxui6xwp,15177315,Version2-70dB,8,audio started,1519.199999988079,Audio Clip,2,67,_MONO__ASI_bleno_analyzable_70dB.mp3
17/02/2026 14:43:18,mxui6xwp,15177315,Version2-70dB,8,o.png,3097,O,2,67,_MONO__ASI_bleno_analyzable_70dB.mp3
17/02/2026 14:43:19,mxui6xwp,15177315,Version2-70dB,9,audio started,1517.3999999642256,Audio Clip,2,3,_MONO__ASI148_maestro_alt_analyzable_v_raw_70dB.mp3
17/02/2026 14:43:21,mxui6xwp,15177315,Version2-70dB,9,o.png,3183.2999999999884,O,2,3,_MONO__ASI148_maestro_alt_analyzable_v_raw_70dB.mp3
17/02/2026 14:43:22,mxui6xwp,15177315,Version2-70dB,10,audio started,1517.3999999880907,Audio Clip,2,85,_MONO__ASI_gapo_unanalyzable_70dB.mp3
17/02/2026 14:43:24,mxui6xwp,15177315,Version2-70dB,10,o.png,2804.7000000000116,O,2,85,_MONO__ASI_gapo_unanalyzable_70dB.mp3
17/02/2026 14:43:25,mxui6xwp,15177315,Version2-70dB,11,audio started,1516.8999999880907,Audio Clip,2,74,_MONO__HSS_noga_analyzable_70dB.mp3
17/02/2026 14:43:27,mxui6xwp,15177315,Version2-70dB,11,a.png,3362.999999952328,A,1,74,_MONO__HSS_noga_analyzable_70dB.mp3
17/02/2026 14:43:29,mxui6xwp,15177315,Version2-70dB,12,audio started,1517.2999999642489,Audio Clip,2,54,_MONO__HSS145_vaso_nonalt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:30,mxui6xwp,15177315,Version2-70dB,12,o.png,2732.7999999999884,O,2,54,_MONO__HSS145_vaso_nonalt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:31,mxui6xwp,15177315,Version2-70dB,13,audio started,1517.3999999761581,Audio Clip,2,18,_MONO__HSS145_rayo_alt_unanalyzable_v_raw_70dB.mp3
17/02/2026 14:43:33,mxui6xwp,15177315,Version2-70dB,13,o.png,2999.79999999993,O,2,18,_MONO__HSS145_rayo_alt_unanalyzable_v_raw_70dB.mp3
17/02/2026 14:43:34,mxui6xwp,15177315,Version2-70dB,14,audio started,1518.2999999761814,Audio Clip,2,7,_MONO__ASI132_gato_alt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:35,mxui6xwp,15177315,Version2-70dB,14,o.png,2666.600000000035,O,2,7,_MONO__ASI132_gato_alt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:37,mxui6xwp,15177315,Version2-70dB,15,audio started,1517.199999988079,Audio Clip,2,57,_MONO__HSS113_cabra_nonalt_unanalyzable_v_raw_70dB.mp3
17/02/2026 14:43:38,mxui6xwp,15177315,Version2-70dB,15,a.png,2889.099999964237,A,1,57,_MONO__HSS113_cabra_nonalt_unanalyzable_v_raw_70dB.mp3
17/02/2026 14:43:40,mxui6xwp,15177315,Version2-70dB,16,audio started,1521.0999999523046,Audio Clip,2,40,_MONO__ASI148_barco_nonalt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:41,mxui6xwp,15177315,Version2-70dB,16,o.png,2714.3999999642256,O,2,40,_MONO__ASI148_barco_nonalt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:43:43,mxui6xwp,15177315,Version2-70dB,17,audio started,1517.2999999761814,Audio Clip,2,11,_MONO__ASI146_cocinera_alt_analyzable_v_raw_70dB.mp3
17/02/2026 14:43:44,mxui6xwp,15177315,Version2-70dB,17,a.png,3148.9999999642605,A,1,11,_MONO__ASI146_cocinera_alt_analyzable_v_raw_70dB.mp3
17/02/2026 14:43:46,mxui6xwp,15177315,Version2-70dB,18,audio started,1535.7000000000116,Audio Clip,2,59,_MONO__ASI146_ballena_nonalt_unanalyzable_v_raw_70dB.mp3
17/02/2026 14:43:47,mxui6xwp,15177315,Version2-70dB,18,a.png,2882.3999999880907,A,1,59,_MONO__ASI146_ballena_nonalt_unanalyzable_v_raw_70dB.mp3
17/02/2026 14:43:49,mxui6xwp,15177315,Version2-70dB,19,audio started,1517.8999999880907,Audio Clip,2,91,_MONO__ASI_noga_unanalyzable1_70dB.mp3
17/02/2026 14:43:50,mxui6xwp,15177315,Version2-70dB,19,a.png,3246.09999997617,A,1,91,_MONO__ASI_noga_unanalyzable1_70dB.mp3
17/02/2026 14:43:52,mxui6xwp,15177315,Version2-70dB,20,audio started,1518.7999999523163,Audio Clip,2,96,_MONO__ASI_sata_unanalyzable_70dB.mp3
17/02/2026 14:43:54,mxui6xwp,15177315,Version2-70dB,20,a.png,4009.199999988079,A,1,96,_MONO__ASI_sata_unanalyzable_70dB.mp3
17/02/2026 14:43:56,mxui6xwp,15177315,Version2-70dB,21,audio started,1518.499999952328,Audio Clip,2,80,_MONO__ASI_kecha_analyzable_70dB.mp3
17/02/2026 14:43:58,mxui6xwp,15177315,Version2-70dB,21,a.png,3606.8999999880907,A,1,80,_MONO__ASI_kecha_analyzable_70dB.mp3
17/02/2026 14:43:59,mxui6xwp,15177315,Version2-70dB,22,audio started,1517.5999999881024,Audio Clip,2,8,_MONO__ASI110_plato_alt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:01,mxui6xwp,15177315,Version2-70dB,22,o.png,3139.5999999881024,O,2,8,_MONO__ASI110_plato_alt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:02,mxui6xwp,15177315,Version2-70dB,23,audio started,1517.2999999642489,Audio Clip,2,71,_MONO__ASI_kecho_analyzable_70dB.mp3
17/02/2026 14:44:05,mxui6xwp,15177315,Version2-70dB,23,o.png,3776.299999964249,O,2,71,_MONO__ASI_kecho_analyzable_70dB.mp3
17/02/2026 14:44:06,mxui6xwp,15177315,Version2-70dB,24,audio started,1517.199999988079,Audio Clip,2,55,_MONO__ASI142_sapo_nonalt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:08,mxui6xwp,15177315,Version2-70dB,24,o.png,2922.199999988079,O,2,55,_MONO__ASI142_sapo_nonalt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:13,mxui6xwp,15177315,Version2-70dB,25,audio started,1517.0999999523046,Audio Clip,2,47,_MONO__ASI132_camisa_nonalt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:14,mxui6xwp,15177315,Version2-70dB,25,a.png,2838.2999999999884,A,1,47,_MONO__ASI132_camisa_nonalt_analyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:16,mxui6xwp,15177315,Version2-70dB,26,audio started,1517.4999999761349,Audio Clip,2,22,_MONO__HSS145_gato_alt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:17,mxui6xwp,15177315,Version2-70dB,26,o.png,2776.899999952293,O,2,22,_MONO__HSS145_gato_alt_unanalyzable_v-less_raw_70dB.mp3
17/02/2026 14:44:18,mxui6xwp,15177315,Version2-70dB,27,audio started,1517.0999999642372,Audio Clip,2,34,_MONO__HSS129_caramelo_nonalt_analyzable_v_raw_70dB.mp3
17/02/2026 14:44:20,mxui6xwp,15177315,Version2-70dB,27,o.png,3312.7999999523163,O,2,34,_MONO__HSS129_caramelo_nonalt_analyzable_v_raw_70dB.mp3
17/02/2026 14:44:22,mxui6xwp,15177315,Version2-70dB,28,audio started,1517.2000000000116,Audio Clip,2,70,_MONO__ASI_gapo_analyzable_70dB.mp3
17/02/2026 14:44:23,mxui6xwp,15177315,Version2-70dB,28,o.png,3109.7000000000116,O,2,70,_MONO__ASI_gapo_analyzable_70dB.mp3
17/02/2026 14:44:25,mxui6xwp,15177315,Version2-70dB,29,audio started,1517.2999999999884,Audio Clip,2,89,_MONO__HSS_fada_unanalyzable1_70dB.mp3
17/02/2026 14:44:27,mxui6xwp,15177315,Version2-70dB,29,a.png,3699.4999999880674,A,1,89,_MONO__HSS_fada_unanalyzable1_70dB.mp3
