Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 16:58:56,3sq66wle,15178530,Version1-raw,1,audio started,1519.199999999997,Audio Clip,2,3,[MONO] ASI148_maestro_alt_analyzable_v_raw.mp3
17/02/2026 16:58:58,3sq66wle,15178530,Version1-raw,1,o.png,2578.699999999997,O,2,3,[MONO] ASI148_maestro_alt_analyzable_v_raw.mp3
17/02/2026 16:58:59,3sq66wle,15178530,Version1-raw,2,audio started,1509.0000000001892,Audio Clip,2,15,[MONO] ASI132_bruja_alt_analyzable_v-less_raw.mp3
17/02/2026 16:59:00,3sq66wle,15178530,Version1-raw,2,a.png,2714.300000000003,A,1,15,[MONO] ASI132_bruja_alt_analyzable_v-less_raw.mp3
17/02/2026 16:59:02,3sq66wle,15178530,Version1-raw,3,audio started,1505.099999999904,Audio Clip,2,12,[MONO] ASI128_pala_alt_analyzable_v_raw.mp3
17/02/2026 16:59:03,3sq66wle,15178530,Version1-raw,3,a.png,2576.9000000001834,A,1,12,[MONO] ASI128_pala_alt_analyzable_v_raw.mp3
17/02/2026 16:59:04,3sq66wle,15178530,Version1-raw,4,audio started,1521.4999999999127,Audio Clip,2,6,[MONO] HSS113_viejito_alt_analyzable_v-less_raw.mp3
17/02/2026 16:59:05,3sq66wle,15178530,Version1-raw,4,o.png,2350.100000000006,O,2,6,[MONO] HSS113_viejito_alt_analyzable_v-less_raw.mp3
17/02/2026 16:59:07,3sq66wle,15178530,Version1-raw,5,audio started,1505.0000000002765,Audio Clip,2,17,[MONO] HSS113_camarero_alt_unanalyzable_v_raw.mp3
17/02/2026 16:59:07,3sq66wle,15178530,Version1-raw,5,o.png,2377.80000000009,O,2,17,[MONO] HSS113_camarero_alt_unanalyzable_v_raw.mp3
17/02/2026 16:59:09,3sq66wle,15178530,Version1-raw,6,audio started,1521.7000000001863,Audio Clip,2,22,[MONO] HSS145_gato_alt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:10,3sq66wle,15178530,Version1-raw,6,o.png,2516.7999999999884,O,2,22,[MONO] HSS145_gato_alt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:11,3sq66wle,15178530,Version1-raw,7,audio started,1520.1000000000931,Audio Clip,2,1,[MONO] HSS122_camarero_alt_analyzable_v_raw.mp3
17/02/2026 16:59:13,3sq66wle,15178530,Version1-raw,7,o.png,2999.100000000093,O,2,1,[MONO] HSS122_camarero_alt_analyzable_v_raw.mp3
17/02/2026 16:59:14,3sq66wle,15178530,Version1-raw,8,audio started,1520.3000000001048,Audio Clip,2,16,[MONO] ASI146_plata_alt_analyzable_v-less_raw.mp3
17/02/2026 16:59:16,3sq66wle,15178530,Version1-raw,8,a.png,2630.0999999999185,A,1,16,[MONO] ASI146_plata_alt_analyzable_v-less_raw.mp3
17/02/2026 16:59:17,3sq66wle,15178530,Version1-raw,9,audio started,1521.7000000002736,Audio Clip,2,62,[MONO] HSS113_taza_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:18,3sq66wle,15178530,Version1-raw,9,a.png,2741.799999999901,A,1,62,[MONO] HSS113_taza_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:20,3sq66wle,15178530,Version1-raw,10,audio started,1522.000000000291,Audio Clip,2,38,[MONO] HSS129_mosquito_nonalt_analyzable_v-less_raw.mp3
17/02/2026 16:59:21,3sq66wle,15178530,Version1-raw,10,o.png,2666.5999999999767,O,2,38,[MONO] HSS129_mosquito_nonalt_analyzable_v-less_raw.mp3
17/02/2026 16:59:22,3sq66wle,15178530,Version1-raw,11,audio started,1504.400000000198,Audio Clip,2,57,[MONO] HSS113_cabra_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:24,3sq66wle,15178530,Version1-raw,11,a.png,2783.3000000000175,A,1,57,[MONO] HSS113_cabra_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:25,3sq66wle,15178530,Version1-raw,12,audio started,1521.3000000002794,Audio Clip,2,44,[MONO] ASI142_sombrilla_nonalt_analyzable_v_raw.mp3
17/02/2026 16:59:26,3sq66wle,15178530,Version1-raw,12,a.png,2529,A,1,44,[MONO] ASI142_sombrilla_nonalt_analyzable_v_raw.mp3
17/02/2026 16:59:28,3sq66wle,15178530,Version1-raw,13,audio started,1520.1000000002678,Audio Clip,2,32,[MONO] ASI119_gata_alt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:29,3sq66wle,15178530,Version1-raw,13,o.png,2632.4000000000815,O,2,32,[MONO] ASI119_gata_alt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:30,3sq66wle,15178530,Version1-raw,14,audio started,1503.6000000000058,Audio Clip,2,77,[MONO] HSS_nija_analyzable.mp3
17/02/2026 16:59:32,3sq66wle,15178530,Version1-raw,14,a.png,2666.200000000099,A,1,77,[MONO] HSS_nija_analyzable.mp3
17/02/2026 16:59:33,3sq66wle,15178530,Version1-raw,15,audio started,1503.5999999999185,Audio Clip,2,19,[MONO] ASI119_nino_alt_unanalyzable_v_raw.mp3
17/02/2026 16:59:34,3sq66wle,15178530,Version1-raw,15,o.png,2466.7999999999884,O,2,19,[MONO] ASI119_nino_alt_unanalyzable_v_raw.mp3
17/02/2026 16:59:35,3sq66wle,15178530,Version1-raw,16,audio started,1520.1000000000058,Audio Clip,2,88,[MONO] ASI_sato_unanalyzable2.mp3
17/02/2026 16:59:37,3sq66wle,15178530,Version1-raw,16,no-se.png,3281.700000000099,No se,3,88,[MONO] ASI_sato_unanalyzable2.mp3
17/02/2026 16:59:39,3sq66wle,15178530,Version1-raw,17,audio started,1520.6000000000931,Audio Clip,2,58,[MONO] HSS145_cuchara_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:40,3sq66wle,15178530,Version1-raw,17,a.png,2512.3000000002794,A,1,58,[MONO] HSS145_cuchara_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:41,3sq66wle,15178530,Version1-raw,18,audio started,1520.2000000002736,Audio Clip,2,90,[MONO] HSS_fada_unanalyzable2.mp3
17/02/2026 16:59:42,3sq66wle,15178530,Version1-raw,18,no-se.png,2679.1000000001804,No se,3,90,[MONO] HSS_fada_unanalyzable2.mp3
17/02/2026 16:59:44,3sq66wle,15178530,Version1-raw,19,audio started,1503.6000000001804,Audio Clip,2,73,[MONO] HSS_fada_analyzable.mp3
17/02/2026 16:59:45,3sq66wle,15178530,Version1-raw,19,no-se.png,2811.899999999994,No se,3,73,[MONO] HSS_fada_analyzable.mp3
17/02/2026 16:59:47,3sq66wle,15178530,Version1-raw,20,audio started,1504.799999999901,Audio Clip,2,50,[MONO] HSS145_cuaderno_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:48,3sq66wle,15178530,Version1-raw,20,o.png,2444.799999999901,O,2,50,[MONO] HSS145_cuaderno_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:49,3sq66wle,15178530,Version1-raw,21,audio started,1521.2000000002736,Audio Clip,2,64,[MONO] ASI142_trenza_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:50,3sq66wle,15178530,Version1-raw,21,a.png,2514.899999999994,A,1,64,[MONO] ASI142_trenza_nonalt_unanalyzable_v-less_raw.mp3
